TEMPERATURE SCANNER

Start Date-08/12
Start Time-01:23:48
DATE,TIME,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN
Dt/Mn,Hr:Min:Sec,01,02,03,04,05,06,07,08,

TEMPERATURE SCANNER

Start Date-08/12
Start Time-01:24:03
DATE,TIME,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN
Dt/Mn,Hr:Min:Sec,01,02,03,04,05,06,07,08,
08/12,01:24:13,+0056,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:24:23,+0059,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:24:33,+0060,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:24:43,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:24:53,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:25:03,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286

TEMPERATURE SCANNER

Start Date-08/12
Start Time-01:25:11
DATE,TIME,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN
Dt/Mn,Hr:Min:Sec,01,02,03,04,05,06,07,08,
08/12,01:25:21,+0062,+1286,+1286,+1286,+1286,+1286,+1286,+1286

TEMPERATURE SCANNER

Start Date-08/12
Start Time-01:26:10
DATE,TIME,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN
Dt/Mn,Hr:Min:Sec,01,02,03,04,05,06,07,08,
08/12,01:26:20,+0062,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:26:30,+0062,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:26:40,+0062,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:26:50,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:27:00,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:27:10,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:27:20,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:27:30,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:27:40,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:27:50,+0062,+1286,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:28:00,+0061,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:28:10,+0062,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:28:20,+0061,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:28:30,+0061,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:28:40,+0061,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:28:50,+0060,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:29:00,+0060,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:29:10,+0060,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:29:20,+0059,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:29:30,+0059,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:29:40,+0059,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:29:50,+0059,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:30:00,+0059,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:30:10,+0059,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:30:20,+0059,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:30:30,+0058,+1287,+1287,+1287,+1287,+1286,+1287,+1287
08/12,01:30:40,+0058,+1286,+1287,+1287,+1287,+1286,+1287,+1287
08/12,01:30:50,+0058,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:31:00,+0058,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:31:10,+0059,+1286,+1287,+1286,+1287,+1287,+1287,+1287
08/12,01:31:20,+0059,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:31:30,+0059,+1287,+1287,+1286,+1287,+1287,+1287,+1287
08/12,01:31:40,+0058,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:31:50,+0058,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:32:00,+0057,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:32:10,+0057,+1286,+1286,+1286,+1286,+1286,+1286,+1286
08/12,01:32:20,+0056,+1286,+1286,+1287,+1287,+1287,+1287,+1286
08/12,01:32:30,+0057,+1287,+1287,+1287,+1287,+1287,+1286,+1287
08/12,01:32:40,+0056,+1286,+1286,+1286,+1287,+1286,+1286,+1286
08/12,01:32:50,+0056,+1286,+1286,+1286,+1287,+1286,+1286,+1286
08/12,01:33:00,+0057,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:33:10,+0056,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:33:20,+0056,+1287,+1287,+1286,+1287,+1287,+1287,+1287
08/12,01:33:30,+0057,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:33:40,+0056,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:33:50,+0055,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:34:00,+0055,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:34:10,+0055,+1287,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:34:20,+0056,+1287,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:34:30,+0056,+1288,+1288,+1288,+1288,+1287,+1288,+1288
08/12,01:34:40,+0056,+1288,+1288,+1287,+1288,+1288,+1288,+1288
08/12,01:34:50,+0055,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:35:00,+0055,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:35:10,+0055,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:35:20,+0055,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:35:30,+0055,+1288,+1288,+1288,+1288,+1287,+1288,+1288
08/12,01:35:40,+0054,+1288,+1287,+1288,+1288,+1288,+1288,+1288
08/12,01:35:50,+0054,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:36:00,+0054,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:36:10,+0054,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:36:20,+0053,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:36:30,+0052,+1287,+1288,+1288,+1288,+1288,+1288,+1287
08/12,01:36:40,+0053,+1288,+1287,+1288,+1287,+1288,+1288,+1288
08/12,01:36:50,+0053,+1287,+1287,+1288,+1288,+1288,+1288,+1288
08/12,01:37:00,+0052,+1288,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:37:10,+0052,+1288,+1287,+1288,+1288,+1288,+1288,+1288
08/12,01:37:20,+0052,+1288,+1287,+1288,+1288,+1288,+1288,+1287
08/12,01:37:30,+0051,+1288,+1288,+1288,+1287,+1288,+1288,+1287
08/12,01:37:40,+0050,+1286,+1287,+1287,+1287,+1287,+1287,+1287
08/12,01:37:50,+0050,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:38:00,+0050,+1288,+1287,+1287,+1288,+1287,+1287,+1287
08/12,01:38:10,+0050,+1288,+1288,+1287,+1288,+1288,+1288,+1288
08/12,01:38:20,+0050,+1288,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:38:30,+0049,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:38:40,+0049,+1287,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:38:50,+0048,+1287,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:39:00,+0049,+1288,+1288,+1287,+1288,+1288,+1288,+1288
08/12,01:39:10,+0049,+1288,+1287,+1287,+1288,+1288,+1288,+1288
08/12,01:39:20,+0049,+1288,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:39:30,+0048,+1288,+1288,+1288,+1288,+1287,+1288,+1288
08/12,01:39:40,+0048,+1288,+1287,+1288,+1288,+1288,+1288,+1288
08/12,01:39:50,+0048,+1288,+1287,+1288,+1288,+1288,+1287,+1288
08/12,01:40:00,+0048,+1288,+1288,+1288,+1288,+1288,+1287,+1287
08/12,01:40:10,+0048,+1288,+1288,+1288,+1288,+1287,+1288,+1288
08/12,01:40:20,+0047,+1288,+1287,+1288,+1288,+1287,+1288,+1287
08/12,01:40:30,+0047,+1287,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:40:40,+0046,+1288,+1287,+1288,+1288,+1288,+1288,+1288
08/12,01:40:50,+0046,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:41:00,+0046,+1288,+1288,+1287,+1287,+1288,+1287,+1288
08/12,01:41:10,+0046,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:41:20,+0045,+1288,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:41:30,+0044,+1288,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:41:40,+0044,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:41:50,+0045,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:42:00,+0044,+1287,+1288,+1288,+1287,+1288,+1288,+1288
08/12,01:42:10,+0044,+1286,+1288,+1288,+1286,+1288,+1288,+1288
08/12,01:42:20,+0044,+1288,+1288,+1288,+1288,+1288,+1288,+1287
08/12,01:42:30,+0043,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:42:40,+0044,+1288,+1288,+1288,+1288,+1287,+1288,+1288
08/12,01:42:50,+0043,+1289,+1288,+1288,+1288,+1288,+1288,+1287
08/12,01:43:00,+0043,+1288,+1288,+1288,+1288,+1289,+1288,+1288
08/12,01:43:10,+0043,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:43:20,+0043,+1288,+1288,+1287,+1288,+1288,+1288,+1288
08/12,01:43:30,+0042,+1288,+1288,+1288,+1288,+1287,+1288,+1288

TEMPERATURE SCANNER

Start Date-08/12
Start Time-01:43:37
DATE,TIME,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN
Dt/Mn,Hr:Min:Sec,01,02,03,04,05,06,07,08,

TEMPERATURE SCANNER

Start Date-08/12
Start Time-01:43:44
DATE,TIME,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN
Dt/Mn,Hr:Min:Sec,01,02,03,04,05,06,07,08,

TEMPERATURE SCANNER

Start Date-08/12
Start Time-01:43:46
DATE,TIME,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN,CHAN
Dt/Mn,Hr:Min:Sec,01,02,03,04,05,06,07,08,
08/12,01:43:56,+0041,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:44:06,+0042,+1288,+1287,+1288,+1288,+1288,+1288,+1288
08/12,01:44:16,+0042,+1288,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:44:26,+0042,+1288,+1288,+1288,+1288,+1287,+1288,+1287
08/12,01:44:36,+0042,+1286,+1288,+1288,+1287,+1288,+1287,+1288
08/12,01:44:46,+0043,+1288,+1288,+1288,+1288,+1288,+1287,+1288
08/12,01:44:56,+0042,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:45:06,+0041,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:45:16,+0041,+1287,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:45:26,+0041,+1288,+1288,+1289,+1287,+1288,+1288,+1287
08/12,01:45:36,+0041,+1288,+1288,+1288,+1288,+1288,+1288,+1288
08/12,01:45:46,+0041,+1288,+1288,+1288,+1286,+1288,+1288,+1288
08/12,01:45:56,+0041,+1288,+1289,+1288,+1288,+1288,+1287,+1288
08/12,01:46:06,+0040,+1288,+1288,+1288,+1288,+1288,+1289,+1288
08/12,01:46:16,+0042,+1288,+1288,+1289,+1289,+1289,+1289,+1289
08/12,01:46:26,+0042,+1288,+1288,+1289,+1289,+1289,+1289,+1289
08/12,01:46:36,+0041,+1288,+1288,+1289,+1287,+1288,+1289,+1287
08/12,01:46:46,+0042,+1289,+1288,+1288,+1288,+1288,+1289,+1289
08/12,01:46:56,+0041,+1289,+1289,+1288,+1288,+1288,+1288,+1288
08/12,01:47:06,+0042,+1288,+1288,+1288,+1288,+1288,+1288,+1289
08/12,01:47:16,+0040,+1288,+1288,+1288,+1288,+1288,+1289,+1289
08/12,01:47:26,+0041,+1289,+1289,+1289,+1288,+1288,+1288,+1287
08/12,01:47:36,+0042,+1288,+1289,+1288,+1288,+1288,+1288,+1289
08/12,01:47:46,+0042,+1289,+1289,+1289,+1287,+1288,+1288,+1288
08/12,01:47:56,+0041,+1288,+1289,+1288,+1289,+1288,+1288,+1288
08/12,01:48:06,+0042,+1289,+1288,+1289,+1287,+1288,+1288,+1288
08/12,01:48:16,+0040,+1288,+1287,+1288,+1288,+1288,+1288,+1288
08/12,01:48:26,+0041,+1289,+1288,+1289,+1289,+1289,+1288,+1289
08/12,01:48:36,+0042,+1289,+1288,+1289,+1289,+1288,+1289,+1289
08/12,01:48:46,+0042,+1288,+1289,+1288,+1289,+1289,+1288,+1288
08/12,01:48:56,+0040,+1288,+1289,+1288,+1287,+1289,+1289,+1288
08/12,01:49:06,+0041,+1288,+1289,+1288,+1288,+1289,+1289,+1289
08/12,01:49:16,+0041,+1288,+1288,+1288,+1288,+1288,+1289,+1288
08/12,01:49:26,+0041,+1289,+1289,+1289,+1287,+1289,+1288,+1288
08/12,01:49:36,+0040,+1289,+1289,+1289,+1289,+1288,+1288,+1288
08/12,01:49:46,+0039,+1288,+1289,+1289,+1289,+1289,+1289,+1289
08/12,01:49:56,+0041,+1289,+1288,+1289,+1287,+1289,+1289,+1288
08/12,01:50:06,+0040,+1289,+1288,+1289,+1289,+1289,+1289,+1289
08/12,01:50:16,+0041,+1289,+1287,+1289,+1289,+1288,+1288,+1289
08/12,01:50:26,+0041,+1288,+1289,+1289,+1288,+1289,+1289,+1289
08/12,01:50:36,+0039,+1289,+1289,+1288,+1288,+1288,+1289,+1289
08/12,01:50:46,+0040,+1289,+1286,+1288,+1288,+1286,+1288,+1289
08/12,01:50:56,+0040,+1288,+1289,+1288,+1289,+1289,+1288,+1289
08/12,01:51:06,+0041,+1289,+1288,+1289,+1289,+1289,+1288,+1288
08/12,01:51:16,+0041,+1289,+1288,+1289,+1289,+1289,+1289,+1287
08/12,01:51:26,+0041,+1289,+1289,+1289,+1289,+1289,+1289,+1289
08/12,01:51:36,+0040,+1288,+1289,+1290,+1289,+1289,+1289,+1288
08/12,01:51:46,+0040,+1289,+1289,+1288,+1290,+1288,+1289,+1289
08/12,01:51:56,+0040,+1289,+1288,+1288,+1289,+1288,+1288,+1288
08/12,01:52:06,+0041,+1288,+1289,+1289,+1288,+1288,+1289,+1288
08/12,01:52:16,+0041,+1290,+1290,+1289,+1288,+1288,+1288,+1289
08/12,01:52:26,+0042,+1289,+1288,+1289,+1288,+1289,+1289,+1290
08/12,01:52:36,+0041,+1289,+1289,+1289,+1288,+1289,+1290,+1289
08/12,01:52:46,+0040,+1288,+1289,+1289,+1289,+1289,+1289,+1289
08/12,01:52:56,+0041,+1290,+1288,+1288,+1289,+1288,+1287,+1288
08/12,01:53:06,+0041,+1288,+1289,+1289,+1288,+1289,+1289,+1289
08/12,01:53:16,+0041,+1290,+1290,+1289,+1289,+1288,+1289,+1290
08/12,01:53:26,+0040,+1289,+1290,+1288,+1289,+1290,+1289,+1289
08/12,01:53:36,+0041,+1290,+1290,+1288,+1290,+1290,+1289,+1289
08/12,01:53:46,+0041,+1290,+1289,+1289,+1290,+1289,+1289,+1288
08/12,01:53:56,+0040,+1289,+1290,+1288,+1290,+1289,+1288,+1289
08/12,01:54:06,+0041,+1288,+1289,+1289,+1290,+1290,+1289,+1290
